Temp Irradiance TheoV PredV TheoP PreP
306.565 9.31 0.402 0.4387748955440805 0.0278898805577 0.024439676124590828
306.565 9.43 0.403 0.43663974169637926 0.028272890597 0.025355427155220465
306.398 9.89 0.404 0.43491382193781547 0.0297278912281 0.027243375164277273
306.471 9.66 0.403 0.43328856193243204 0.0289992992287 0.02678779145251757
306.402 10.12 0.404 0.431917685606873 0.0304653552579 0.028581892980530748
307.159 12.96 0.411 0.430078890766461 0.0397395423557 0.038783205834831386
307.168 10.1 0.405 0.4288242346294839 0.0304772614878 0.029196265065379822
298.511 62.43 0.438 0.44373781337629503 0.204796536486 0.20439271936824036
298.625 91.73 0.447 0.44598487520546565 0.307797211822 0.30777593794844266
298.475 119.4 0.453 0.4486054393446324 0.4064787925 0.40606549107509143
298.743 131.53 0.456 0.44938581216655443 0.450623142051 0.44973094324954443
298.625 154.13 0.46 0.45161010129548634 0.532536901032 0.5310239659418479
298.477 169.54 0.462 0.4532732712833652 0.588593976745 0.5867622491562706
299.49 157.98 0.462 0.45100505204960584 0.548170536871 0.5456018660933614
299.626 144.34 0.46 0.4497774705047879 0.498556310741 0.4965122925752753
299.739 24.73 0.417 0.439541758109658 0.0770599685068 0.07419602399060604
300.07 8.68 0.392 0.4372703935877386 0.0253354552327 0.019359447081645158
300.373 17.04 0.409 0.4367577850689845 0.0519907275254 0.04869082772727834
299.953 128.5 0.457 0.44671740359520196 0.441444564747 0.43937249568979864
300.196 98.31 0.451 0.4438493309062122 0.332925067966 0.33213347676975397
299.987 162.29 0.463 0.44985991366086225 0.564904724934 0.5609837587348819
300.003 179.33 0.466 0.45146634342622355 0.627705279369 0.6228537057324853
300.006 188.25 0.467 0.45237426116973856 0.660702657232 0.6554203322766687
300.031 185.23 0.466 0.4521999876319375 0.649573833803 0.6445001478074253
300.029 175.59 0.465 0.45147612555771927 0.613956323856 0.6094954530886307
299.945 185.61 0.466 0.4525786822911636 0.650795371054 0.6460056576381107
300.055 174.29 0.465 0.45155942813689587 0.609214077937 0.6049181597860745
299.932 182.01 0.466 0.45250942558556667 0.637460380752 0.6330240771669641
300.43 193.11 0.468 0.4529073982146727 0.679670714395 0.6737356400325416
300.188 200.35 0.469 0.45397549576402096 0.706005383596 0.7002452690203983
300.068 376.72 0.484 0.4694420347835607 1.37298748956 1.362452294677493
300.341 410.12 0.486 0.4720418826888908 1.50281782785 1.491482392684252
300.133 396.81 0.485 0.47127010048321005 1.45050939428 1.4400442742348738
299.742 465.6 0.489 0.47782675491379634 1.71413075052 1.7066515379310265
299.662 392.68 0.484 0.4716957460037855 1.43236618959 1.423877144065144
299.683 362.06 0.482 0.4690848473266033 1.31508395903 1.3064798884483872
299.587 382.77 0.483 0.47107908406366356 1.39396671222 1.3858570396480525
299.344 389.8 0.484 0.4720750356782091 1.41978674899 1.4126513485236116
299.624 377.63 0.483 0.4707183540062717 1.37444229297 1.3663230550284147
299.594 394.83 0.484 0.47231943543567195 1.44029780861 1.4325019163209465
299.665 422.46 0.486 0.4746931746645844 1.54698262372 1.539409217970492
299.711 468.95 0.489 0.4787449525608792 1.72694380473 1.7204164386106842
298.592 610.18 0.493 0.49257206843163875 2.26961661247 2.269579537334756
298.848 622.12 0.494 0.4932850769630527 2.31834283951 2.31827428601709
298.793 629.25 0.494 0.49398587816516515 2.34585686511 2.3458559575953926
298.999 659.85 0.496 0.49638581415419125 2.46768718798 2.4676551110633134
298.359 504.23 0.488 0.4836500301013428 1.85553934582 1.8539434206566199
298.472 440.95 0.485 0.47801802730738724 1.61189849513 1.6086039039159257
299.273 412.1 0.485 0.47450208300500973 1.50509273917 1.4989277918025454
299.218 399.63 0.484 0.47354299834182445 1.45691375052 1.4507991404949736
